prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
204,57498.5412,57114.0728,56746.0811,56419.402500000004,56075.2824,55750.0974,55373.3589,55046.4391,54659.6325,54296.0198,54008.9124,53657.1667,53307.406,53001.2453,52607.168900000004,52337.0648,52068.7156,51744.4718,51434.0512,51146.2237
205,25817.040200000003,25788.738100000002,25844.4388,25902.882900000004,25922.8147,25958.618300000002,25984.6591,26092.262000000002,26160.852400000003,26227.019099999998,26292.5206,26355.2485,26281.955800000003,26283.316,26524.161699999997,26501.161500000002,26669.3215,26701.0196,26790.098899999997,26986.4319
206,67229.2332,68746.4518,70114.9569,71533.198,73223.0047,74707.972,76252.9651,77830.1075,79407.7973,81276.7088,83105.0364,85348.5303,87179.99130000001,89147.46919999999,90808.4821,92908.2501,95000.0783,97024.92300000001,99192.5092,101378.85339999999
207,18981.314899999998,19637.4054,20352.786,21046.5639,21783.7822,22543.0949,23354.3484,24197.9838,25050.748499999998,25919.481600000003,26800.3333,27664.509400000003,28666.2847,29690.2401,30863.749600000003,31950.6043,33100.7633,34315.980599999995,35516.7657,36808.6955
208,96689.1039,99871.38190000001,102512.71909999999,105779.758,109047.1545,112421.9001,115895.7105,119676.7375,123743.9821,127844.007,132745.0804,136440.9087,141493.9772,146716.29750000002,150705.3298,156938.622,162768.3626,168463.8082,174839.3118,181624.3481
209,44899.643,45096.6785,45344.8587,45719.3234,46135.1939,46406.438200000004,46651.8812,47086.7985,47512.23,47753.7591,48238.149,48780.6125,48974.562600000005,49273.0077,49461.0716,50103.1225,50790.7673,51137.3024,51645.3753,52153.6541
210,58041.520300000004,58635.0884,59251.2589,59797.4828,60279.009300000005,60972.9393,61663.683,62331.9386,62956.5867,63737.1832,64305.5255,64943.0008,65974.8474,66995.9528,68012.526,68846.31880000001,69638.2842,70723.451,71750.7565,72845.4293
211,64383.4532,67489.8737,70317.6811,73559.5938,76991.0774,80723.7706,84514.8401,88661.2309,93061.7783,97400.39450000001,102358.3733,107364.06970000001,112704.0743,118307.1581,124290.4486,130504.2903,137260.9713,144327.28720000002,151884.4182,159870.73859999998
212,75223.1651,75984.0291,76195.159,77378.9834,79476.3214,80124.2293,80952.2552,81298.2982,82642.4344,85318.1829,86209.7629,86162.4044,86725.7509,87903.0692,89417.67719999999,91356.2981,93412.7369,94493.5309,95953.9565,97680.1197
213,86031.6713,87127.32949999999,88188.68950000001,89202.69810000001,90117.9624,91308.1695,92416.3936,93381.3475,94395.8682,95763.4675,96795.5407,98021.91960000001,99376.958,100789.7159,102299.8039,103455.1437,104603.398,106174.49539999999,107626.5879,109130.794
214,28832.997000000003,29573.928,30263.472,31690.351000000002,33159.306,34109.194,35130.265,36266.888999999996,37566.675,38569.92,39891.801,41585.568,42904.492,44483.176,46250.270000000004,47671.604,49670.939,51233.322,52999.551,54982.679000000004
215,12184.4375,12656.7588,13173.045399999999,13655.8897,14142.469799999999,14719.1714,15307.0767,15895.217799999999,16501.5547,17202.6172,17763.3145,18486.771500000003,19221.086900000002,19976.4464,20799.6662,21645.761,22503.994,23412.699,24336.209000000003,25319.074999999997
216,11199.892600000001,11617.686,12002.001,12353.7507,12736.0908,13146.825700000001,13582.7632,14008.0421,14463.196800000002,14876.069399999998,15373.351999999999,15871.082699999999,16411.5852,16985.8435,17443.6364,18025.516499999998,18584.8943,19194.1864,19856.2984,20414.5348
217,21509.8768,21811.3692,22010.1168,22331.2745,22644.6015,22963.4951,23270.4398,23662.695499999998,24097.6525,24616.194600000003,25124.5708,25478.451399999998,26184.4715,26795.222999999998,27455.0113,28087.1597,28974.8338,29912.6552,30867.971899999997,31936.9228
218,15306.5157,15539.7268,15733.8804,15932.5814,16054.777300000002,16220.1689,16478.419,16679.2085,16863.173300000002,17011.2678,17207.8541,17456.0933,17674.6138,17882.9029,18022.903299999998,18238.4712,18428.2091,18612.985800000002,18827.1182,19046.0994
219,6296.7988000000005,6402.5815,6498.190500000001,6611.1365,6713.093199999999,6829.0615,6957.365899999999,7079.254199999999,7211.2456,7358.8017,7483.5473999999995,7605.5183,7762.834000000001,7965.0783,8164.9148000000005,8306.6919,8464.5762,8659.202099999999,8876.7407,9091.7159
220,46579.6874,47591.2925,48626.0766,49076.528099999996,49976.6715,50835.9724,51815.6144,52886.313,53664.952,54978.649,56060.515,57091.836,57994.318999999996,59041.672,59665.193,61193.93,62232.932,63429.197,64666.649000000005,65819.311
