varname,kind,n_prov,min_support,median_support,n_prov_support1,pop_vs_unweighted_maxabs,pop_vs_unweighted_reldelta,pearson,spearman,rankshift_ge5,area_vs_pop_maxabs,area_vs_pop_spearman,area_vs_pop_rankshift_ge5
sdg8_6_wlm,indicator,112,1,3.0,15,7.888833850379665,0.20317858542420625,0.9597340745623457,0.9488563197670852,54,,,
sdg4_1_ssdrf,indicator,112,1,3.0,15,3.94701726520797,0.2878644380167349,0.9572348291299492,0.9490539443985253,46,,,
sdg10_2_gcye,indicator,112,1,3.0,15,0.10007777549063773,0.27287924613857234,0.9694853488840595,0.9498147339152634,48,,,
sdg4_c_qts,indicator,112,1,3.0,15,22.586439855488734,0.25399838839841526,0.9438376194483774,0.9500522135975902,50,,,
sdg9_1_routes,indicator,112,1,3.0,15,2.584068602756439,0.5894224832913727,0.9217760400946394,0.9532887377289919,51,,,
sdg5_1_gpyp,indicator,112,1,3.0,15,0.09693269767752088,0.23318952769711696,0.9682194976706512,0.9543784677421379,46,,,
sdg7_3_co2epc,indicator,112,1,3.0,15,2.305162922046023,0.8203016114921321,0.8096132483303609,0.9559107242511837,53,,,
sdg9_5_eutf,indicator,112,1,3.0,17,22.894170942119132,0.23386653895516957,0.9631147843771641,0.9578043700102545,44,,,
sdg1_1_ubn,indicator,112,1,3.0,15,37.28679975965847,0.5164376626484877,0.9315006050496654,0.9595170318064211,47,,,
sdg1_4_abs,indicator,112,1,3.0,15,39.28160116286597,0.4388439437009101,0.9411199436820447,0.9595617912742651,44,,,
sdg7_1_cce,indicator,112,1,3.0,15,38.49492643601273,0.4422957509623752,0.9424491844665721,0.9601257388868009,49,,,
sdg1_1_eepr,indicator,110,0,2.0,19,30.671553973542757,0.37959844026661826,0.9633087765927484,0.9610823458364608,45,,,
sdg2_2_cmc,indicator,112,1,3.0,15,12.146064067374006,0.2699125462268409,0.9718786537165077,0.9611696458061997,43,,,
sdg8_4_rem,indicator,110,0,2.0,20,15.625812052476268,0.38174791093523375,0.96606513774663,0.9644294969185757,41,,,
sdg3_3_ti,indicator,112,1,3.0,15,39.958464266627445,0.15721597060468062,0.9703098549366478,0.9652995226117754,41,,,
sdg13_1_ccvi,indicator,112,1,3.0,15,0.7559670633471854,0.260678297705926,0.9660835049105613,0.9656013643207041,44,,,
sdg3_1_idca,indicator,112,1,3.0,15,26.895504902877462,0.3641351288330548,0.9702830744425476,0.9659257867222469,43,,,
sdg10_2_nssp,indicator,112,1,3.0,15,18.060597104418214,0.3292808166088692,0.9744303004013757,0.9662845525677384,42,,,
sdg3_7_afr,indicator,112,1,3.0,15,28.78064859213191,0.12425295669613427,0.9773778511333783,0.9671814671814672,47,,,
sdg3_2_mrc,indicator,112,1,3.0,15,21.2201775056515,0.29684332735309255,0.9751783028698932,0.9679075409163905,45,,,
sdg4_4_phe,indicator,112,1,3.0,15,16.89975058161363,0.5007536794517266,0.889596595497388,0.9683686761910866,43,,,
sdg7_1_rec,indicator,112,1,3.0,15,164.07306657420702,0.31113668339368955,0.9471698948367534,0.9685283698491541,40,,,
sdg8_11_idi,indicator,112,1,3.0,15,7.954464179977074,0.5562562363620331,0.8872146364577166,0.9687208367157151,50,,,
sdg5_1_gpmpi,indicator,112,1,3.0,15,0.19520026804045854,0.19470269985614577,0.9646866684763074,0.968951985204077,46,,,
sdg8_5_ofrm,indicator,112,1,3.0,15,9.80731985758915,0.22845499198381625,0.9731887273747175,0.9691034270680288,40,,,
sdg3_2_imr,indicator,112,1,3.0,15,15.628426628998564,0.3083015072528572,0.9761424452593177,0.9701560427895846,37,,,
sdg4_6_lr,indicator,112,1,3.0,15,6.5486619144160585,0.2766124768672993,0.9788881986729023,0.9710442974327066,37,,,
sdg5_5_gpop,indicator,112,1,3.0,15,0.10343454942667951,0.19934059213399524,0.9733406568330977,0.9754956219071287,45,,,
sdg11_1_hno,indicator,112,1,3.0,15,37.34994187002145,0.4158753029248396,0.9667745004902095,0.9770944113527947,33,,,
sdg2_2_oww,indicator,112,1,3.0,15,5.574652901422393,0.2592861935213295,0.9788641833222583,0.977574665794839,28,,,
sdg17_1_pmtax,indicator,112,1,3.0,15,12.76697398972126,0.3745190028118612,0.9464535482007186,0.9787635295197398,40,,,
sdg10_2_iec,indicator,110,0,2.0,20,87.62632230373401,0.4027038103299241,0.9709131038124924,0.9794370786683246,33,,,
sdg16_1_rhr,indicator,112,1,3.0,15,5.513740918075181,0.62340844766095,0.8452674367126287,0.9819191049613588,34,,,
sdg11_1_hocr,indicator,112,1,3.0,15,10.084627537380342,0.19576562389753127,0.979320080180563,0.9828304916800493,38,,,
sdg3_3_hivi,indicator,112,1,3.0,15,240.64682401444185,0.4942428197922983,0.9135497486437862,0.9843597696056712,38,,,
sdg13_2_tco2e,indicator,112,1,3.0,15,77.71961911615298,0.34182825648786086,0.9313143887494032,0.9865775886833598,30,,,
sdg2_4_td,indicator,111,0,3.0,15,131.17773904247753,0.2111305372665983,0.9835753258523384,0.9889235264847821,25,,,
sdg11_2_samt,indicator,112,1,3.0,15,404.80583989628957,0.5849047722560193,0.8843420819136019,0.9903191487042433,26,,,
sdg2_4_pual,indicator,111,0,3.0,15,208.9380344797649,0.1333116031115246,0.9889603517212252,0.9930962467035274,23,,,
sdg15_1_pa,indicator,112,1,3.0,15,14.066833993808682,0.14597367859185853,0.9844134621731384,0.9931019136626613,17,21.66223554819551,0.9924992582702864,19.0
sdg15_5_blr,indicator,112,1,3.0,15,0.34495262845106817,0.2174115304934366,0.9572337757458091,0.9943558422912642,11,0.35446935325876316,0.9920604589838152,14.0
sdg3_3_cdir,indicator,112,1,3.0,15,6.156157214444004,0.18948149652219634,0.9776037706395195,0.9958459512960418,8,,,
sdg13_2_dra,indicator,112,1,3.0,15,1.6085910580105547,0.3022435768017029,0.9598295565592626,0.9964246579049615,6,2.4668559302608575,0.9932056463421777,14.0
sdg6_3_wwt,indicator,112,1,3.0,15,85.69503959716235,0.44867676948324103,0.9428447345749396,0.9975322012232469,5,,,
sdg3_3_di,indicator,112,1,3.0,15,33.703827948761116,0.35494964949647256,0.9967521751939401,0.9979254822223442,4,,,
sdg3_3_imr,indicator,112,1,3.0,15,8.996247241217127,0.12547724201557034,0.9953048271287138,0.9995618885034675,0,,,
