idx,varname,varlabel
149,airTemp2013.max,Maximum Air Temperature in Celcius in 2013
150,airTemp2014.max,Maximum Air Temperature in Celcius in 2014
151,airTemp2015.max,Maximum Air Temperature in Celcius in 2015
152,airTemp2016.max,Maximum Air Temperature in Celcius in 2016
153,airTemp2017.max,Maximum Air Temperature in Celcius in 2017
154,distancedistanceCoast2017mean,Mean distance to coast in meters in 2017
155,distancedistanceCoast2017max,Max distance to coast in meters in 2017
156,distancedistanceCoast2017min,Min distance to coast in meters in 2017
157,distanceDia2017min,Min distance to diamond deposits in meters in 2017
158,distanceDia2017mean,Mean distance to diamond deposits in meters in 2017
159,distanceDia2017max,Max distance to diamond deposits in meters in 2017
160,drugCult_count2017,Total area in polygons in 2017
161,drugCult_none2017,Area without drug cultivation in polygons in 2017
162,drugCult_coca_bush2017,Area with coca bush cultivation in polygons in 2017
163,distanceDrug2017mean,Mean distance to drug cultivation sites in meters in 2017
164,distanceDrug2017max,Max distance to drug cultivation sites in meters in 2017
165,distanceDrug2017min,Min distance to drug cultivation sites in meters in 2017
166,esaLandCover2012_grassland,grassland ESA land cover classification in polygons in 2012
167,esaLandCover2012_count,count ESA land cover classification in polygons in 2012
168,esaLandCover2012_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2012
169,esaLandCover2012_bare_areas,bare areas ESA land cover classification in polygons in 2012
170,esaLandCover2012_shrubland,shrubland ESA land cover classification in polygons in 2012
171,esaLandCover2012_no_data,no data ESA land cover classification in polygons in 2012
172,esaLandCover2012_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2012
173,esaLandCover2012_water_bodies,water bodies ESA land cover classification in polygons in 2012
174,esaLandCover2012_forest,forest ESA land cover classification in polygons in 2012
175,esaLandCover2012_wetland,wetland ESA land cover classification in polygons in 2012
176,esaLandCover2012_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2012
177,esaLandCover2012_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2012
178,esaLandCover2012_snow_ice,snow ice ESA land cover classification in polygons in 2012
179,esaLandCover2012_urban,urban ESA land cover classification in polygons in 2012
180,esaLandCover2013_grassland,grassland ESA land cover classification in polygons in 2013
181,esaLandCover2013_count,count ESA land cover classification in polygons in 2013
182,esaLandCover2013_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2013
183,esaLandCover2013_bare_areas,bare areas ESA land cover classification in polygons in 2013
184,esaLandCover2013_shrubland,shrubland ESA land cover classification in polygons in 2013
185,esaLandCover2013_no_data,no data ESA land cover classification in polygons in 2013
186,esaLandCover2013_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2013
187,esaLandCover2013_water_bodies,water bodies ESA land cover classification in polygons in 2013
188,esaLandCover2013_forest,forest ESA land cover classification in polygons in 2013
189,esaLandCover2013_wetland,wetland ESA land cover classification in polygons in 2013
190,esaLandCover2013_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2013
191,esaLandCover2013_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2013
192,esaLandCover2013_snow_ice,snow ice ESA land cover classification in polygons in 2013
193,esaLandCover2013_urban,urban ESA land cover classification in polygons in 2013
194,esaLandCover2014_grassland,grassland ESA land cover classification in polygons in 2014
195,esaLandCover2014_count,count ESA land cover classification in polygons in 2014
196,esaLandCover2014_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2014
197,esaLandCover2014_bare_areas,bare areas ESA land cover classification in polygons in 2014
198,esaLandCover2014_shrubland,shrubland ESA land cover classification in polygons in 2014
199,esaLandCover2014_no_data,no data ESA land cover classification in polygons in 2014
200,esaLandCover2014_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2014
201,esaLandCover2014_water_bodies,water bodies ESA land cover classification in polygons in 2014
202,esaLandCover2014_forest,forest ESA land cover classification in polygons in 2014
203,esaLandCover2014_wetland,wetland ESA land cover classification in polygons in 2014
204,esaLandCover2014_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2014
205,esaLandCover2014_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2014
206,esaLandCover2014_snow_ice,snow ice ESA land cover classification in polygons in 2014
207,esaLandCover2014_urban,urban ESA land cover classification in polygons in 2014
208,esaLandCover2015_grassland,grassland ESA land cover classification in polygons in 2015
209,esaLandCover2015_count,count ESA land cover classification in polygons in 2015
210,esaLandCover2015_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2015
211,esaLandCover2015_bare_areas,bare areas ESA land cover classification in polygons in 2015
212,esaLandCover2015_shrubland,shrubland ESA land cover classification in polygons in 2015
213,esaLandCover2015_no_data,no data ESA land cover classification in polygons in 2015
214,esaLandCover2015_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2015
215,esaLandCover2015_water_bodies,water bodies ESA land cover classification in polygons in 2015
216,esaLandCover2015_forest,forest ESA land cover classification in polygons in 2015
217,esaLandCover2015_wetland,wetland ESA land cover classification in polygons in 2015
218,esaLandCover2015_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2015
219,esaLandCover2015_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2015
220,esaLandCover2015_snow_ice,snow ice ESA land cover classification in polygons in 2015
221,esaLandCover2015_urban,urban ESA land cover classification in polygons in 2015
222,esaLandCover2016_grassland,grassland ESA land cover classification in polygons in 2016
223,esaLandCover2016_count,count ESA land cover classification in polygons in 2016
224,esaLandCover2016_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2016
225,esaLandCover2016_bare_areas,bare areas ESA land cover classification in polygons in 2016
226,esaLandCover2016_shrubland,shrubland ESA land cover classification in polygons in 2016
227,esaLandCover2016_no_data,no data ESA land cover classification in polygons in 2016
228,esaLandCover2016_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2016
229,esaLandCover2016_water_bodies,water bodies ESA land cover classification in polygons in 2016
230,esaLandCover2016_forest,forest ESA land cover classification in polygons in 2016
231,esaLandCover2016_wetland,wetland ESA land cover classification in polygons in 2016
232,esaLandCover2016_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2016
233,esaLandCover2016_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2016
234,esaLandCover2016_snow_ice,snow ice ESA land cover classification in polygons in 2016
235,esaLandCover2016_urban,urban ESA land cover classification in polygons in 2016
236,modis_agriculture_2012,"agricultural land MODIS, total pixels divided by green Pixels in 2012"
237,modis_total_area_2012,total pixels in 2012
238,modis_urban_2012,"urban land MODIS, total pixels divided by gray Pixels in 2012"
239,modis_agriculture_2013,"agricultural land MODIS, total pixels divided by green Pixels in 2013"
240,modis_total_area_2013,total pixels in 2013
241,modis_urban_2013,"urban land MODIS, total pixels divided by gray Pixels in 2013"
242,modis_agriculture_2014,"agricultural land MODIS, total pixels divided by green Pixels in 2014"
243,modis_total_area_2014,total pixels in 2014
244,modis_urban_2014,"urban land MODIS, total pixels divided by gray Pixels in 2014"
245,modis_agriculture_2015,"agricultural land MODIS, total pixels divided by green Pixels in 2015"
246,modis_total_area_2015,total pixels in 2015
247,modis_urban_2015,"urban land MODIS, total pixels divided by gray Pixels in 2015"
248,modis_agriculture_2016,"agricultural land MODIS, total pixels divided by green Pixels in 2016"
249,modis_total_area_2016,total pixels in 2016
250,modis_urban_2016,"urban land MODIS, total pixels divided by gray Pixels in 2016"
251,ghsl2015,pixel sum of the Global Human Settlement Layer population count in 2015
252,gisa2012,Global Impervious Surface area by pixel in 2012
253,gisa2013,Global Impervious Surface area by pixel in 2013
254,gisa2014,Global Impervious Surface area by pixel in 2014
255,gisa2015,Global Impervious Surface area by pixel in 2015
256,gisa2016,Global Impervious Surface area by pixel in 2016
