prov_id,prov,capital,dep,dep_id,dep_prov,n_mun,gadm_name,sources
413,San Pedro de Totora,Totora,Oruro,5,Oruro-San Pedro de Totora,1,San Pedro de Totora,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
414,Sebastián Pagador,Santiago de Huari,Oruro,5,Oruro-Sebastián Pagador,1,Sebastián Pagador,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
415,Mejillones,La Rivera,Oruro,5,Oruro-Mejillones,3,Mejillones,https://es.wikipedia.org/wiki/Provincia_de_Mejillones ; https://en.wikipedia.org/wiki/Oruro_Department ; https://www.educa.com.bo/content/departamento-de-oruro
416,Nor Carangas,Huayllamarca,Oruro,5,Oruro-Nor Carangas,1,Nor Carangas,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
501,Tomás Frías,Potosí,Potosí,7,Potosí-Tomás Frías,4,Tomás Frías,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Provincia_de_Tom%C3%A1s_Fr%C3%ADas ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
502,Rafael Bustillo,Uncía,Potosí,7,Potosí-Rafael Bustillo,4,Rafael Bustillo,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/geografia/uncia-municipio-de-rafael-bustillo ; https://www.wikidata.org/wiki/Q238079
503,Cornelio Saavedra,Betanzos,Potosí,7,Potosí-Cornelio Saavedra,3,Cornelio Saavedra,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi
504,Chayanta,Colquechaca,Potosí,7,Potosí-Chayanta,4,Chayanta,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.wikidata.org/wiki/Q238079
505,Charcas,San Pedro de Buena Vista,Potosí,7,Potosí-Charcas,2,Chárcas,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi
506,Nor Chichas,Cotagaita,Potosí,7,Potosí-Nor Chichas,2,Nor Chichas,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi
