prov_id,prov,dep,dep_id,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,gdppc2015,gdppc2016,gdppc2017,gdppc2018,gdppc2019,gdppc2020,gdppc2021,gdppc2022,gdppc2023,gdppc2024
301,Cercado,Cochabamba,3,2601.0,2750.0,2796.0,2667.0,3023.0,3012.0,3516.0,3522.0,3540.0,3433.0,3914.0,3582.0,4765.0,4680.0,5058.0,5264.0,5600.0,5800.0,5922.0,5327.0,5441.0,6383.0,6931.0,7846.0,8581.0,8928.0,8808.0,9221.0,9597.0,10952.0,10540.0,11831.0,13234.0,13766.0,14617.0
302,Campero,Cochabamba,3,2203.0,2349.0,2631.0,2808.0,2729.0,2599.0,2515.0,3238.0,3312.0,3428.0,3470.0,4203.0,3386.0,3345.0,4191.0,5111.0,5451.0,4630.0,5111.0,5702.0,7051.0,7488.0,7879.0,8583.0,7768.0,8162.0,8271.0,9317.0,8055.0,7844.0,6014.0,7399.0,5339.0,5337.0,7604.0
303,Ayopaya,Cochabamba,3,2622.0,2401.0,2716.0,3199.0,3439.0,3706.0,3597.0,3522.0,3572.0,3670.0,3620.0,3943.0,3230.0,3193.0,2920.0,2972.0,3180.0,3224.0,3640.0,3444.0,3531.0,3793.0,3870.0,4192.0,4474.0,3499.0,3737.0,3580.0,3538.0,4180.0,3858.0,4428.0,4756.0,4857.0,6183.0
304,Esteban Arze,Cochabamba,3,1653.0,1755.0,1724.0,2372.0,2366.0,2890.0,3023.0,4456.0,4693.0,5171.0,5211.0,5589.0,4767.0,4798.0,3359.0,3472.0,3645.0,3679.0,3938.0,3394.0,3245.0,3607.0,4170.0,4730.0,5123.0,4686.0,5688.0,3527.0,4305.0,4908.0,4776.0,6585.0,6969.0,7077.0,6706.0
305,Arani,Cochabamba,3,2043.0,2148.0,2327.0,3080.0,2984.0,3009.0,2940.0,2996.0,3164.0,3402.0,2816.0,2724.0,2695.0,2623.0,2853.0,2940.0,3152.0,3238.0,3695.0,5451.0,5598.0,6370.0,7246.0,6921.0,5621.0,5880.0,5156.0,5841.0,7235.0,7893.0,5727.0,7555.0,8419.0,9236.0,8118.0
306,Arque,Cochabamba,3,2156.0,2323.0,2556.0,2762.0,3007.0,3046.0,3124.0,2763.0,2772.0,2779.0,3028.0,3255.0,3309.0,3268.0,3535.0,3800.0,4047.0,4119.0,4695.0,4926.0,4991.0,5449.0,5305.0,5834.0,6107.0,6421.0,4985.0,4860.0,5253.0,5739.0,4765.0,6446.0,7041.0,7265.0,6852.0
307,Capinota,Cochabamba,3,3081.0,1590.0,1527.0,1845.0,2521.0,2542.0,2668.0,2434.0,2593.0,2634.0,1884.0,2834.0,2008.0,1951.0,2563.0,2586.0,2770.0,2170.0,2169.0,2502.0,2574.0,2571.0,3912.0,4361.0,3743.0,3933.0,4557.0,8711.0,10254.0,12322.0,6161.0,9878.0,11912.0,12785.0,6760.0
308,Germán Jordán,Cochabamba,3,1863.0,1584.0,1577.0,1919.0,1832.0,1464.0,1324.0,1522.0,1574.0,1522.0,1614.0,2255.0,2155.0,2093.0,2268.0,2220.0,2132.0,2426.0,3157.0,3119.0,3202.0,3485.0,4373.0,4858.0,5064.0,5232.0,5176.0,5158.0,6285.0,7045.0,5846.0,7665.0,8264.0,8508.0,7049.0
309,Quillacollo,Cochabamba,3,2476.0,2675.0,2721.0,2852.0,3103.0,3496.0,3678.0,3854.0,4051.0,4034.0,3975.0,4355.0,3940.0,3942.0,4325.0,4376.0,4296.0,4406.0,4651.0,4834.0,4975.0,5935.0,6165.0,7046.0,7664.0,8026.0,7770.0,7950.0,7730.0,8872.0,8852.0,9619.0,11004.0,11959.0,12645.0
310,Chapare,Cochabamba,3,2201.0,2361.0,2187.0,2179.0,1869.0,2555.0,2158.0,2499.0,2699.0,2768.0,2720.0,1488.0,1157.0,1378.0,1450.0,1547.0,1952.0,2340.0,2112.0,2843.0,3209.0,3678.0,3939.0,4112.0,4378.0,4467.0,6962.0,11654.0,12857.0,9773.0,7875.0,8390.0,8247.0,8537.0,8024.0
311,Tapacarí,Cochabamba,3,2227.0,2366.0,2543.0,2711.0,2911.0,3164.0,3101.0,2749.0,2935.0,3359.0,3140.0,3634.0,3307.0,3139.0,3292.0,3378.0,3592.0,3634.0,4014.0,4221.0,4416.0,4763.0,5219.0,5824.0,6054.0,5508.0,5985.0,5239.0,5276.0,5922.0,5235.0,5850.0,6279.0,6827.0,5561.0
312,Carrasco,Cochabamba,3,2139.0,2311.0,2397.0,2685.0,3059.0,2846.0,3173.0,3106.0,3185.0,3550.0,3510.0,4798.0,3979.0,3852.0,3965.0,3790.0,4026.0,4284.0,4673.0,4900.0,5090.0,5454.0,6093.0,6746.0,7015.0,6193.0,6656.0,6661.0,7211.0,5376.0,4129.0,5003.0,5427.0,5585.0,7438.0
313,Mizque,Cochabamba,3,2175.0,2332.0,2550.0,2876.0,2907.0,2634.0,2586.0,3217.0,3408.0,3456.0,3165.0,4131.0,3403.0,3245.0,3894.0,3682.0,3352.0,4683.0,5182.0,6549.0,6791.0,7410.0,8174.0,8786.0,9785.0,8337.0,7444.0,8554.0,7462.0,8128.0,6501.0,7896.0,8654.0,8984.0,7273.0
314,Punata,Cochabamba,3,1911.0,1931.0,1635.0,1773.0,1876.0,2387.0,2399.0,2057.0,2191.0,1817.0,2095.0,2168.0,2069.0,2028.0,2398.0,2479.0,2828.0,3321.0,2677.0,3219.0,3043.0,3826.0,4505.0,6917.0,7627.0,7997.0,7845.0,4338.0,5311.0,6074.0,4405.0,6058.0,6568.0,6754.0,6403.0
315,Bolívar,Cochabamba,3,2579.0,2949.0,2966.0,3238.0,3567.0,3725.0,4008.0,4399.0,4651.0,4893.0,5652.0,5199.0,5047.0,5140.0,4972.0,5425.0,5568.0,5436.0,5917.0,6444.0,6720.0,7370.0,7285.0,8478.0,8902.0,8084.0,8623.0,6305.0,6357.0,6831.0,5964.0,6425.0,7235.0,7492.0,6428.0
316,Tiraque,Cochabamba,3,2338.0,2527.0,2623.0,2907.0,3072.0,3055.0,3087.0,2751.0,2917.0,3042.0,2981.0,3102.0,2856.0,2556.0,2874.0,3030.0,3253.0,3362.0,3777.0,3867.0,4016.0,4262.0,5270.0,5078.0,4776.0,5005.0,4039.0,3579.0,3633.0,4191.0,4925.0,6610.0,7066.0,7607.0,6493.0
401,Cercado,Oruro,5,2405.0,2617.0,2701.0,2937.0,3174.0,3455.0,3478.0,3944.0,4322.0,4069.0,4096.0,4337.0,4114.0,4015.0,4018.0,4331.0,4830.0,5273.0,6371.0,6694.0,6902.0,5247.0,5986.0,6665.0,7134.0,7343.0,7667.0,8905.0,9286.0,9379.0,8167.0,9313.0,10214.0,10833.0,11606.0
402,Eduardo Avaroa,Oruro,5,1922.0,2182.0,2217.0,2399.0,2862.0,2976.0,3168.0,3560.0,3823.0,3828.0,3846.0,4215.0,4114.0,4119.0,4122.0,4232.0,4354.0,4230.0,4912.0,5409.0,5529.0,3975.0,3819.0,4457.0,4621.0,4684.0,5079.0,5155.0,5376.0,5733.0,5815.0,6502.0,7015.0,7343.0,6542.0
403,Carangas,Oruro,5,2291.0,2489.0,2522.0,2741.0,3203.0,3380.0,3797.0,4306.0,4589.0,4534.0,4488.0,4340.0,4504.0,4777.0,4492.0,4788.0,4861.0,4784.0,5916.0,6036.0,6147.0,4752.0,4670.0,5537.0,5899.0,5873.0,6294.0,6613.0,6945.0,7428.0,6595.0,7436.0,8278.0,8601.0,7375.0
404,Sajama,Oruro,5,1776.0,1888.0,1997.0,2107.0,2590.0,2805.0,3024.0,3442.0,3668.0,3578.0,3584.0,3568.0,3963.0,3920.0,3597.0,3825.0,4043.0,4005.0,4828.0,4888.0,4789.0,3355.0,3350.0,3725.0,4014.0,4020.0,4120.0,4620.0,4928.0,5471.0,4869.0,5645.0,6295.0,6603.0,5248.0
405,Litoral,Oruro,5,1766.0,1926.0,1960.0,2155.0,2486.0,2722.0,2946.0,3398.0,3571.0,3466.0,3601.0,5053.0,5134.0,5408.0,5103.0,5789.0,5236.0,4003.0,4736.0,5058.0,4999.0,3450.0,3470.0,3837.0,4072.0,3724.0,3883.0,4359.0,4546.0,4744.0,4477.0,4865.0,5031.0,5371.0,4637.0
406,Poopó,Oruro,5,2537.0,2850.0,2882.0,3132.0,3395.0,4084.0,4531.0,5279.0,6097.0,7552.0,7754.0,6533.0,7577.0,5700.0,5153.0,5425.0,5714.0,6139.0,7165.0,8235.0,8755.0,4047.0,4511.0,5086.0,5414.0,5132.0,5687.0,5860.0,6546.0,6613.0,7699.0,8894.0,9699.0,9580.0,9006.0
407,Pantaleón Dalence,Oruro,5,1964.0,2250.0,2323.0,2489.0,3220.0,3239.0,3517.0,4134.0,4160.0,4373.0,4144.0,5016.0,4179.0,4211.0,4108.0,4345.0,4556.0,4519.0,5319.0,5793.0,5926.0,5003.0,3915.0,4482.0,4720.0,4608.0,4942.0,5017.0,4867.0,5372.0,5784.0,6521.0,7103.0,6843.0,6630.0
408,Ladislao Cabrera,Oruro,5,2465.0,2793.0,2829.0,3123.0,3526.0,3853.0,4052.0,4660.0,4922.0,4953.0,4964.0,4054.0,4347.0,4406.0,4061.0,4103.0,3580.0,4204.0,4920.0,5323.0,5465.0,3760.0,3672.0,4103.0,4467.0,4469.0,4670.0,5007.0,5146.0,5729.0,5167.0,5957.0,6549.0,6870.0,6103.0
409,Sabaya,Oruro,5,1913.0,2032.0,2108.0,2269.0,2588.0,2792.0,3061.0,3529.0,3626.0,3654.0,3663.0,5247.0,5463.0,5522.0,4712.0,5088.0,5289.0,5288.0,6248.0,5239.0,5263.0,3912.0,4003.0,4486.0,4249.0,4097.0,4408.0,4776.0,5856.0,6097.0,5486.0,6446.0,7342.0,7922.0,6840.0
410,Saucarí,Oruro,5,2074.0,2403.0,2426.0,2654.0,2995.0,3185.0,3606.0,4213.0,4579.0,4585.0,4403.0,4740.0,4885.0,5122.0,4333.0,4954.0,5381.0,4806.0,6465.0,6294.0,6485.0,4235.0,3983.0,4451.0,5036.0,5020.0,5297.0,5636.0,5996.0,6282.0,5780.0,6794.0,7370.0,7997.0,6810.0
