poly_id,asdf_id,mun,mun_id,dep,dep_id,prov_id,prov,dep_mun,dep_prov_mun,shapeID
337,229,Nueva Esperanza,90501,Pando,6,905,Federico Román,Pando-Nueva Esperanza,Pando-Federico Román-Nueva Esperanza,BOL-ADM3-33444609B91423379
39,230,Santiago de Huata,20205,La Paz,4,202,Omasuyos,La Paz-Santiago de Huata,La Paz-Omasuyos-Santiago de Huata,BOL-ADM3-33444609B41664570
93,231,Puerto Pérez,21204,La Paz,4,212,Los Andes,La Paz-Puerto Pérez,La Paz-Los Andes-Puerto Pérez,BOL-ADM3-33444609B7909722
206,232,Chuquihuta,50204,Potosí,7,502,Rafael Bustillo,Potosí-Chuquihuta,Potosí-Rafael Bustillo-Chuquihuta,BOL-ADM3-33444609B27408509
327,233,Bolpebra,90103,Pando,6,901,Nicolás Suárez,Pando-Bolpebra,Pando-Nicolás Suárez-Bolpebra,BOL-ADM3-33444609B21368266
331,234,Filadelfia,90203,Pando,6,902,Manuripi,Pando-Filadelfia,Pando-Manuripi-Filadelfia,BOL-ADM3-33444609B21491486
116,235,Alto Beni,22002,La Paz,4,220,Caranavi,La Paz-Alto Beni,La Paz-Caranavi-Alto Beni,BOL-ADM3-33444609B19655093
115,236,Caranavi,22001,La Paz,4,220,Caranavi,La Paz-Caranavi,La Paz-Caranavi-Caranavi,BOL-ADM3-33444609B96037932
38,237,Huarina,20204,La Paz,4,202,Omasuyos,La Paz-Huarina,La Paz-Omasuyos-Huarina,BOL-ADM3-33444609B8469227
161,238,Bolívar,31501,Cochabamba,3,315,Bolívar,Cochabamba-Bolívar,Cochabamba-Bolívar-Bolívar,BOL-ADM3-33444609B76614989
37,239,Chua Cocani,20203,La Paz,4,202,Omasuyos,La Paz-Chua Cocani,La Paz-Omasuyos-Chua Cocani,BOL-ADM3-33444609B43692068
52,240,Humanata,20404,La Paz,4,204,Camacho,La Paz-Humanata,La Paz-Camacho-Humanata,BOL-ADM3-33444609B78666461
27,241,Muyupampa,11001,Chuquisaca,2,110,Luis Calvo,Chuquisaca-Muyupampa,Chuquisaca-Luis Calvo-Muyupampa,BOL-ADM3-33444609B92881157
92,242,Batallas,21203,La Paz,4,212,Los Andes,La Paz-Batallas,La Paz-Los Andes-Batallas,BOL-ADM3-33444609B42689736
10,243,Padilla,10401,Chuquisaca,2,104,Tomina,Chuquisaca-Padilla,Chuquisaca-Tomina-Padilla,BOL-ADM3-33444609B75760336
8,244,Mojocoya,10303,Chuquisaca,2,103,Zudáñez,Chuquisaca-Mojocoya,Chuquisaca-Zudáñez-Mojocoya,BOL-ADM3-33444609B69980236
281,245,Pucará,70805,Santa Cruz,8,708,Vallegrande,Santa Cruz-Pucará,Santa Cruz-Vallegrande-Pucará,BOL-ADM3-33444609B51772236
23,246,Villa Serrano,10801,Chuquisaca,2,108,Belisario Boeto,Chuquisaca-Villa Serrano,Chuquisaca-Belisario Boeto-Villa Serrano,BOL-ADM3-33444609B69127220
29,247,Macharetí,11003,Chuquisaca,2,110,Luis Calvo,Chuquisaca-Macharetí,Chuquisaca-Luis Calvo-Macharetí,BOL-ADM3-33444609B12353677
276,248,Boyuibe,70707,Santa Cruz,8,707,Cordillera,Santa Cruz-Boyuibe,Santa Cruz-Cordillera-Boyuibe,BOL-ADM3-33444609B47604355
273,249,Cuevo,70704,Santa Cruz,8,707,Cordillera,Santa Cruz-Cuevo,Santa Cruz-Cordillera-Cuevo,BOL-ADM3-33444609B96934473
275,250,Camiri,70706,Santa Cruz,8,707,Cordillera,Santa Cruz-Camiri,Santa Cruz-Cordillera-Camiri,BOL-ADM3-33444609B99493244
123,251,Cocapata,30303,Cochabamba,3,303,Ayopaya,Cochabamba-Cocapata,Cochabamba-Ayopaya-Cocapata,BOL-ADM3-33444609B83608870
277,252,Vallegrande,70801,Santa Cruz,8,708,Vallegrande,Santa Cruz-Vallegrande,Santa Cruz-Vallegrande-Vallegrande,BOL-ADM3-33444609B53201147
274,253,Gutiérrez,70705,Santa Cruz,8,707,Cordillera,Santa Cruz-Gutiérrez,Santa Cruz-Cordillera-Gutiérrez,BOL-ADM3-33444609B32904525
1,254,Sucre,10101,Chuquisaca,2,101,Oropeza,Chuquisaca-Sucre,Chuquisaca-Oropeza-Sucre,BOL-ADM3-33444609B61390228
7,255,Presto,10302,Chuquisaca,2,103,Zudáñez,Chuquisaca-Presto,Chuquisaca-Zudáñez-Presto,BOL-ADM3-33444609B90222474
280,256,Postrer Valle,70804,Santa Cruz,8,708,Vallegrande,Santa Cruz-Postrer Valle,Santa Cruz-Vallegrande-Postrer Valle,BOL-ADM3-33444609B25796587
278,257,Trigal,70802,Santa Cruz,8,708,Vallegrande,Santa Cruz-Trigal,Santa Cruz-Vallegrande-Trigal,BOL-ADM3-33444609B52561385
285,258,Quirusillas,70904,Santa Cruz,8,709,Florida,Santa Cruz-Quirusillas,Santa Cruz-Florida-Quirusillas,BOL-ADM3-33444609B67865308
