prov_id,imds,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17
203,47.335918430717776,12.829451805931416,50.224093931633476,73.22908505959451,56.30106544576928,75.54860173919667,17.066862064302914,35.70810332386327,41.04413776286231,30.227976277573415,79.57805130839962,31.12755169171442,75.03266112070722,50.17724511373017,76.5750905590441,5.3368171073697015
204,46.528001004380265,21.051657298288724,27.843492701084497,73.31269800510343,47.66837045748564,56.513362177194544,29.37750766229339,41.08168678109022,54.08214918466979,35.74571859933837,57.72086876636024,38.45051266246393,82.3165507344291,50.0161230457422,75.91182151680876,7.199618797089456
205,44.937905901018404,23.630762411464712,30.109833115581317,69.97166110108672,46.78999607010189,60.222211599909485,33.829800447973845,41.04593931630569,52.889836386706754,23.9922274680559,49.61916522900685,35.7525520059339,76.11317834005926,48.78634821607698,77.71841603664978,3.2962816486906084
206,49.64020109895423,36.236740427090716,32.95288034768083,66.78827948391306,55.36439869385164,76.47341268100793,33.017286460779154,54.296685462166884,49.074216103331594,31.07506190554474,67.96678913144922,35.51886298142376,72.67732084946516,46.947993682284235,77.08734185773085,9.080486633040785
207,50.63268450229884,28.203493651045566,37.291925657177806,76.44459416841157,53.18656956489705,81.16723627335503,32.77887078272035,48.934192280223975,41.79662375935534,32.26396097598254,66.3835011600004,27.385201175357082,59.554107166945926,94.10266799277271,75.27071491789776,4.643123399948083
208,55.95021969468688,47.233463198027444,36.31086176150903,77.80011217901612,63.75943107608408,68.45805944731926,40.94602024872723,62.69122601547172,45.59565333530213,48.765071849627866,75.45454797269963,52.400331331074035,86.88586253913056,49.99999999999999,66.63349693646065,16.507993839735565
209,49.21744348994377,26.978220233622363,29.110253291917306,73.76165831931858,61.261706137743836,69.84921593267052,25.58530545732734,50.02739937184427,55.17553566848647,23.549213259997472,73.29071017090514,30.488887704710347,80.5825306148151,50.0,80.39687390122148,8.028402876909425
210,48.58374675211816,28.297557099364443,31.434697660748427,75.26121504799774,52.319046449815666,72.0207234090522,28.023536602334442,47.584728473600094,44.78642818760179,32.06455026476165,74.06752586196374,26.079951734633706,79.00659913678777,48.38459242292468,76.63175297965813,12.908101648788756
211,51.17571163463377,34.64188157631978,34.895834999414795,71.03730827336119,55.258679423235634,86.02954352040271,24.062237323182742,47.395248759959145,66.97092888816327,28.364756904498492,76.01631413533367,36.22946120551223,72.23376361539654,43.6965808421761,76.93833204101024,14.22047023738602
212,50.92122004540399,28.483844527064253,32.43896573086155,75.49234677858885,61.155107386690645,67.49534173811418,32.75206106682932,52.425781899705456,45.66324308722653,44.2942994447989,64.52994141947772,40.09661294990082,86.9763659353585,51.69196109147626,73.05978683497862,7.459473936849812
213,52.35786998375729,30.85070759458271,36.21942589369504,76.61699543410218,63.93865287682285,68.99550210417922,27.547528491593,54.09098850807272,49.886154878680316,46.39614647856082,74.53476930616961,38.916268159651246,79.82638657361451,50.012664426423115,78.13650118486595,9.778317642568444
214,58.98189101010558,51.81810275050438,32.09269519167922,76.26926105088545,60.06255654928905,88.33609793735495,42.69854607440463,61.49210707654328,71.6201600572469,46.27244174624521,77.36070193430152,39.87279800034533,83.31670069880711,63.094084278673314,76.97534856575611,13.95584489846419
215,51.281558624878436,42.2584632748081,55.668052066322296,70.99277904473384,46.728881410855976,75.07706676637895,36.18737197788328,48.47672627026513,45.40153304965031,35.68695984468674,73.15514069093828,38.01826081872584,47.715271476098046,85.82244524754033,67.12070286092572,0.7401560669179266
216,48.65860416731459,15.55482969389045,30.6058582868483,74.75205641121626,52.816526998685354,68.25618159565722,35.51549482182017,39.25205261811795,44.84443918755048,25.011955716081268,52.87241042224156,22.56073042085681,83.28792647616568,98.70344884620786,82.31718269101113,4.16005523893071
217,50.67933019908546,35.317457194233356,28.640334541090255,78.0032170583951,60.52941184870851,60.63587833329352,32.20615835961391,54.53269120518088,54.459948856566086,40.03921370821769,70.68220790148185,38.20431016625926,88.09939782162142,50.00000000000001,58.227396828434884,10.244766695807025
218,48.74443498548038,15.473634351518442,45.68449923841333,80.41993104607113,61.7313946456111,74.30763115649299,18.669251483062197,38.1139184443957,49.75343474525046,20.53674773079239,81.40501166323779,27.0014343399024,76.40282981117538,53.067783908405126,82.92025030542543,5.325905420655054
219,51.59717037116409,22.329488348097275,34.68436900013818,78.43118814457564,62.93205979377398,82.43085979060672,39.9515879266531,37.53353059283857,40.36795477744139,36.746740405133146,84.13988107222951,41.06930546529316,77.51457088298908,50.0,80.01403150245775,5.6122901885411896
220,52.19792584124741,33.931182194821,36.88120436926205,62.31311223812888,61.23632334343179,87.94950157697696,60.9709291033796,43.59004269196478,62.82928859512641,43.06746419525094,74.35350412506021,39.084576859181915,70.11336638024818,25.073967107410105,73.21903905326165,8.827730942055792
301,73.699997,78.559998,58.400002,75.860001,74.889999,72.019997,73.599998,88.739998,68.720001,69.830002,87.57,64.660004,97.59999800000001,66.209999,82.019997,46.259998
302,52.65752164362641,41.27780778456565,35.605929167873015,77.52881491859907,60.62176992074986,77.17286001292939,38.99600125339843,47.74030300241569,45.96698600752128,37.94726146065675,54.237333464418995,36.709829970818774,84.98575813985062,68.75229718791445,71.57270121985786,10.510368312080475
303,43.076596864840944,11.334814090518135,36.0256632295512,69.25430893125926,44.36835705181079,68.87719750773634,18.507301525132046,37.26638554888803,44.734981690640986,20.182768159501073,45.42734314884856,29.437716921073125,68.28894162481059,80.35420551016004,67.29824524757343,4.685055712628617
304,49.979144685417616,41.26118336032583,30.9190880904294,75.21349515220862,55.955627805386364,73.07069365037816,36.380712459605355,57.85797585124069,39.00603285071473,37.67858626999363,56.53578775194655,42.47658559007031,86.03049021233709,49.97354590385285,58.16244705736185,9.467270690653296
305,52.719925283655435,43.51740503538156,29.92280591785557,77.7023569281925,50.68890474106441,69.73799181353549,44.10413345437134,57.57333783790003,50.15190044978138,47.13480252106844,52.78208369569772,45.60721664302826,85.01653478805598,49.9890088290719,71.53151108866057,15.113721417483246
306,41.96416002730123,11.560424381738548,32.87731097628758,66.40615046092533,35.43677450919702,64.85515449131543,28.781504851389954,32.892751480378706,49.3006254675624,26.262648067206296,34.1322084829832,34.052872419406356,77.53977695509062,50.0,77.42443453777629,8.10872793335504
307,53.17393835523267,48.80551983333044,31.343671956212795,74.73233502812454,61.00939558788176,70.4906207189662,42.0120848704198,57.97816017751918,48.39558153861093,38.26256825184588,53.92797723653382,44.59195766957578,86.17011644133738,49.99999999999999,76.87434469707537,12.521967663229827
308,58.575584295408746,70.94013310643678,30.414454199579602,84.03767332429227,62.58794768440938,69.72960045122092,52.469807318896756,73.56387474703146,43.844599364824596,47.55147130877605,71.38128494509327,55.85267237538439,95.12636965425644,50.00000000000001,54.64756731694133,16.603098568559567
309,66.58583042649754,78.22025905270642,50.49684225029788,81.83742530203098,68.70442866685285,73.84268813875764,43.13418432323429,80.02839269265517,52.663318085272735,58.41246199494864,73.20847899275438,65.23545236756189,90.49773784911054,92.04141720455954,60.995736238041644,29.612623144589435
310,63.72291300432071,58.252717565311926,33.54049638575329,80.30451589481957,67.73936053063989,74.26712429963865,69.73208640113302,67.82214064681096,54.502144186885374,44.224468199518576,65.59332970150894,60.84480819223529,81.56257854799544,92.6794063530239,75.55689602268986,28.96615518114556
311,39.400002,7.23,35.130001,63.110001,37.799999,59.900002,17.690001,30.41,47.689999,20.59,33.700001,25.650000000000002,77.510002,60.950001,72.480003,1.11
312,51.57857147532492,34.22412683970019,40.26158672479241,70.68509599178358,49.20358550800825,78.5026021997805,34.64349126401563,49.964491151127994,55.158313504789554,41.96495028185706,51.968538232846235,40.886541850150856,72.60149582094763,61.44845205782741,74.08891080772828,18.10386529384855
313,43.98094722765225,19.24584689135006,37.76107261462603,68.13895044453665,47.60221952520506,74.77931198298243,20.73630571169947,39.052929380039295,51.88483050549499,32.59226338154289,32.785078743310265,25.57134055550584,77.62508700646978,49.99848061509354,73.948379241983,7.722918371088218
314,59.24657588315165,66.19903897757108,30.342950131700174,81.78118144836641,62.20619753589387,68.98461859686523,47.00155635721245,71.84796863283668,48.064093461961654,52.68873910199973,69.16363648255802,56.09134954401568,93.04168574572584,49.95612968491129,74.07896677762636,17.27393889804419
315,42.200001,14.58,30.540001,65.029999,38.580002,60.07,26.120001,37.580002,57.810001,13.26,41.380001,27.25,77.510002,50.0,81.849998,10.86
316,54.42177510203708,39.79996006088325,32.73854736882604,72.33548362937789,48.52253896366925,76.91185158800023,45.42524059320006,54.670280975294574,55.27145117727788,46.14371004286262,53.89157383965368,46.112417662981706,81.78536259656836,77.28790625303203,68.38826338318357,16.934636637506518
401,64.87765573870439,71.03658022170934,57.622309142567595,79.16473022506315,62.119019172402716,62.92125636912609,50.31982755686524,76.68404706818114,56.596688825376866,63.6243321735346,85.22388479982354,69.64785390647556,85.57840431193878,50.288567268238765,69.41966312447485,32.49594902872094
402,51.020281704779514,32.97073705404534,31.54221520107591,67.8934105554007,58.56245263535317,85.09333996135815,30.043134688669802,50.72566886907915,44.99767991043173,48.67777840439297,59.04513842341749,37.9986528422718,80.66017657046118,50.0,75.3477317981954,12.071523520688274
